ID,loan_amnt,loan_term,interest_rate,loan_grade,loan_subgrade,job_experience,home_ownership,annual_income,income_verification_status,loan_purpose,state_code,debt_to_income,delinq_2yrs,public_records,revolving_balance,total_acc,interest_receive,application_type,last_week_pay,total_current_balance,total_revolving_limit,default
72199369,9000,3 years,9.17,B,B2,<5 Years,OWN,85000.0,Not Verified,debt_consolidation,NC,26.68,0.0,0.0,39519,20.0,59.6,INDIVIDUAL,4.0,95493.0,84100.0,0
14257956,18000,3 years,13.65,C,C1,<5 Years,OWN,64000.0,Verified,debt_consolidation,SC,31.67,0.0,1.0,9783,24.0,3348.25,INDIVIDUAL,95.0,185433.0,13500.0,0
66216451,16000,3 years,7.26,A,A4,<5 Years,MORTGAGE,150000.0,Source Verified,debt_consolidation,TX,19.7,2.0,0.0,13641,27.0,276.69,INDIVIDUAL,13.0,180519.0,19300.0,0
46974169,25000,3 years,13.99,C,C4,,MORTGAGE,59800.0,Verified,debt_consolidation,MO,37.39,0.0,0.0,35020,35.0,1106.72,INDIVIDUAL,17.0,183208.0,55400.0,0
46725961,17000,3 years,6.39,A,A2,10+ years,MORTGAGE,72000.0,Source Verified,credit_card,TX,8.92,0.0,0.0,23990,26.0,725.29,INDIVIDUAL,39.0,23990.0,81300.0,0
56469197,10000,3 years,12.69,C,C2,<5 Years,OWN,56000.0,Not Verified,debt_consolidation,IL,16.16,0.0,1.0,6643,48.0,590.5,INDIVIDUAL,26.0,24054.0,25167.0,0
3409695,15000,3 years,11.14,B,B2,10+ years,RENT,100000.0,Not Verified,debt_consolidation,TX,10.51,0.0,1.0,14088,14.0,1020.57,INDIVIDUAL,35.0,14519.0,15200.0,1
26276447,10000,3 years,6.49,A,A2,10+ years,MORTGAGE,109000.0,Not Verified,credit_card,NY,10.84,1.0,0.0,12337,26.0,728.68,INDIVIDUAL,74.0,210751.0,18600.0,0
48393405,12000,3 years,10.99,B,B4,<5 Years,RENT,45000.0,Verified,credit_card,CT,8.21,0.0,0.0,10550,12.0,879.15,INDIVIDUAL,39.0,10550.0,22000.0,0
15140624,7000,3 years,12.49,B,B4,<5 Years,MORTGAGE,53000.0,Not Verified,debt_consolidation,TX,18.84,0.0,0.0,12108,20.0,1186.8,INDIVIDUAL,96.0,145801.0,16800.0,0
72929868,30000,3 years,13.99,C,C4,<5 Years,MORTGAGE,80000.0,Source Verified,credit_card,TX,35.25,2.0,0.0,29489,26.0,0.0,INDIVIDUAL,,152259.0,87400.0,0
62109062,20000,3 years,12.29,C,C1,<5 Years,RENT,55000.0,Verified,debt_consolidation,CA,15.47,0.0,0.0,10287,8.0,763.43,INDIVIDUAL,17.0,22359.0,21200.0,0
39061792,28000,3 years,8.19,A,A5,,MORTGAGE,100000.0,Verified,credit_card,TX,28.41,0.0,0.0,35522,28.0,1963.03,INDIVIDUAL,57.0,287228.0,81000.0,0
1449627,35000,3 years,20.5,E,E2,<5 Years,RENT,75000.0,Verified,debt_consolidation,NY,4.44,1.0,0.0,9993,18.0,5398.08,INDIVIDUAL,44.0,,,1
47157589,5750,3 years,12.29,C,C1,<5 Years,MORTGAGE,20000.0,Source Verified,other,NY,24.61,0.0,1.0,2676,14.0,475.89,INDIVIDUAL,39.0,18004.0,11700.0,0
752536,4000,5 years,10.75,B,B2,,RENT,13212.0,Source Verified,other,CA,6.27,0.0,0.0,1058,8.0,363.77,INDIVIDUAL,61.0,,,1
16552513,18000,5 years,13.65,C,C1,10+ years,MORTGAGE,74900.0,Source Verified,debt_consolidation,VA,21.78,0.0,0.0,2549,29.0,607.03,INDIVIDUAL,13.0,60454.0,26700.0,1
21800223,14000,3 years,12.49,B,B5,<5 Years,RENT,40000.0,Source Verified,debt_consolidation,MO,20.25,1.0,0.0,5479,14.0,1995.92,INDIVIDUAL,74.0,43126.0,6800.0,0
32118789,12975,5 years,19.52,E,E2,10+ years,MORTGAGE,35000.0,Not Verified,debt_consolidation,CA,22.94,0.0,0.0,7852,17.0,2893.61,INDIVIDUAL,65.0,92805.0,11200.0,0
51894672,25000,3 years,6.89,A,A3,<5 Years,OWN,75000.0,Source Verified,home_improvement,VA,26.78,1.0,0.0,21932,19.0,436.77,INDIVIDUAL,13.0,37038.0,99500.0,1
61516870,1000,3 years,14.65,C,C5,10+ years,OWN,49000.0,Verified,debt_consolidation,GA,36.76,0.0,0.0,47269,16.0,45.56,INDIVIDUAL,22.0,94657.0,53700.0,0
12477283,10000,5 years,23.4,E,E5,<5 Years,OWN,52000.0,Source Verified,other,TX,19.6,0.0,0.0,5948,28.0,4123.57,INDIVIDUAL,104.0,35086.0,26300.0,0
58750583,11200,3 years,8.18,B,B1,<5 Years,RENT,65000.0,Not Verified,credit_card,OR,5.61,0.0,0.0,13892,18.0,419.47,INDIVIDUAL,26.0,151177.0,17200.0,0
11960952,19950,5 years,21.48,E,E2,10+ years,RENT,97000.0,Verified,debt_consolidation,NV,22.6,0.0,1.0,15600,46.0,7507.25,INDIVIDUAL,104.0,78240.0,21100.0,0
63027309,6275,3 years,17.86,D,D5,<5 Years,RENT,26400.0,Verified,other,LA,15.91,0.0,0.0,1632,12.0,219.05,INDIVIDUAL,9.0,5268.0,3100.0,0
57728127,8600,3 years,17.57,D,D4,<5 Years,RENT,52000.0,Source Verified,debt_consolidation,RI,21.58,0.0,2.0,4199,25.0,701.95,INDIVIDUAL,26.0,47982.0,10900.0,0
58643842,24700,5 years,19.19,E,E3,6-10 years,OWN,120000.0,Not Verified,debt_consolidation,IN,34.26,0.0,0.0,47887,37.0,1401.94,INDIVIDUAL,13.0,327259.0,67300.0,1
19405354,18000,3 years,14.49,C,C4,10+ years,MORTGAGE,64000.0,Not Verified,credit_card,SC,21.66,1.0,0.0,61476,31.0,3239.64,INDIVIDUAL,83.0,481629.0,103700.0,0
