Alcohol,Malic_Acid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280/OD315_of_Diluted_Wines,Proline,Target
14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,0
13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,0
13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,0
14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,0
13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,0
14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,0
14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,0
14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,0
14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,0
13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,0
14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,0
14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,0
13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,0
14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,0
14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,0
13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,0
14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,0
13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,0
14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,0
13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,0
14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,0
12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,0
13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,0
12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,0
13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,0
13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,0
13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,0
13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,0
13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,0
14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,0
13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,0
13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,0
13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,0
13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,0
13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,0
13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,0
13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,0
13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,0
13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.7,1105,0
14.12,1.48,2.31,15.5,95,2.4,2.3,0.28,1.33,5.0,1.15,2.9,1145,0
14.43,1.75,2.42,16.6,106,2.8,2.8,0.27,1.77,4.9,1.07,3.35,1055,0
13.29,1.95,2.27,16.5,106,2.6,2.4,0.28,1.67,4.9,1.15,3.07,870,0
14.08,1.8,2.4,17.8,110,2.6,2.8,0.28,1.7,4.5,1.25,2.9,1055,0
13.84,1.78,2.44,16.5,103,2.7,2.5,0.3,1.7,4.8,1.07,2.82,1010,0
13.43,1.7,2.4,17.2,103,2.7,2.7,0.28,1.8,4.9,1.1,2.93,1070,0
13.15,1.82,2.54,17.0,100,2.45,2.5,0.27,1.5,4.6,1.08,2.73,1190,0
13.88,1.68,2.42,18.5,105,2.5,2.6,0.29,1.85,5.2,1.14,2.84,1080,0
14.57,1.56,2.6,20.0,104,2.8,2.8,0.3,1.8,4.8,1.18,3.4,1015,0
13.69,1.87,2.7,18.5,108,2.8,2.9,0.32,1.65,4.7,1.2,2.8,1185,0
13.84,1.9,2.63,18.0,120,2.8,2.9,0.31,1.9,5.0,1.1,2.8,1105,0
13.6,1.7,2.4,16.5,102,2.6,2.8,0.3,1.9,4.9,1.05,2.95,1035,0
13.55,1.75,2.8,17.0,105,2.7,2.6,0.28,1.7,4.9,1.05,3.2,1035,0
13.67,1.82,2.45,19.5,98,2.9,2.7,0.27,1.8,5.0,1.1,2.65,1035,0
13.11,1.85,2.58,19.0,104,2.65,2.7,0.31,1.7,4.8,1.05,2.7,1045,0
13.64,1.81,2.55,20.0,96,2.6,2.5,0.28,1.8,4.5,1.1,3.2,1070,0
14.1,1.86,2.42,18.0,106,2.65,2.9,0.3,1.9,5.2,1.15,2.8,1125,0
13.22,1.9,2.55,18.0,104,2.75,2.6,0.29,1.8,4.7,1.13,2.85,1110,0
13.57,1.75,2.55,18.0,106,2.6,2.5,0.3,1.8,4.8,1.1,3.1,1175,0
13.81,1.76,2.6,18.0,100,2.6,2.6,0.28,1.7,5.1,1.1,2.9,1045,0
13.98,1.88,2.65,17.5,106,2.7,2.7,0.32,1.9,4.9,1.15,2.9,1105,0
14.1,1.85,2.58,19.0,108,2.6,2.5,0.28,1.8,4.8,1.1,2.7,1055,0
13.66,1.68,2.57,16.5,104,2.6,2.8,0.28,1.7,5.0,1.05,2.8,1150,0
14.05,1.75,2.68,17.0,102,2.7,2.6,0.28,1.9,5.1,1.08,2.8,1105,0
13.29,1.8,2.5,18.0,106,2.6,2.7,0.3,1.8,4.9,1.1,2.9,1055,0
